tourney_name,tourney_date,Series,Court,surface,round,Best of,player1_name,player2_name,winner_name,player1_rank,player2_rank,Pts_1,Pts_2,Odd_1,Odd_2,score,tourney_id,match_num,loser_name,winner_id,loser_id
Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Y Nishioka,J Lehecka,J Lehecka,69,28,776,1660,3.2,1.36,2-6 7-6 4-6,2025,1,Y Nishioka,j_lehecka,y_nishioka
Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,N Jarry,B Bonzi,N Jarry,35,75,1370,730,2.63,1.5,6-2 6-3,2025,2,B Bonzi,n_jarry,b_bonzi
Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,A Vukic,G Dimitrov,G Dimitrov,68,10,778,3350,4.5,1.2,2-6 6-7,2025,3,A Vukic,g_dimitrov,a_vukic
Brisbane International,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,J Thompson,A Michelsen,J Thompson,26,41,1745,1245,1.67,2.2,7-5 6-3,2025,4,A Michelsen,j_thompson,a_michelsen
Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,D Lajovic,J Mensik,J Mensik,81,48,710,1136,4.0,1.25,3-6 2-6,2025,5,D Lajovic,j_mensik,d_lajovic
Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,R Opelka,M Arnaldi,R Opelka,293,37,176,1345,2.5,1.53,7-6 7-6,2025,6,M Arnaldi,r_opelka,m_arnaldi
Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,F Tiafoe,G Mpetshi,G Mpetshi,18,31,2585,1561,1.8,2.0,4-6 6-7,2025,7,F Tiafoe,g_mpetshi,f_tiafoe
Brisbane International,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,N Djokovic,G Monfils,N Djokovic,7,55,3910,1005,1.06,10.0,6-3 6-3,2025,8,G Monfils,n_djokovic,g_monfils
Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,N Jarry,J Lehecka,J Lehecka,35,28,1370,1660,3.2,1.36,4-6 4-6,2025,9,N Jarry,j_lehecka,n_jarry
Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,G Mpetshi,J Mensik,G Mpetshi,31,48,1561,1136,1.73,2.1,7-5 7-6,2025,10,J Mensik,g_mpetshi,j_mensik
Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,N Djokovic,R Opelka,R Opelka,7,293,3910,176,1.05,11.0,6-7 3-6,2025,11,N Djokovic,r_opelka,n_djokovic
Brisbane International,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,R Opelka,G Mpetshi,R Opelka,293,31,176,1561,2.2,1.67,6-3 7-6,2025,12,G Mpetshi,r_opelka,g_mpetshi
Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,M Kecmanovic,A Muller,A Muller,54,67,1021,778,1.4,3.0,7-5 6-7 6-7,2025,13,M Kecmanovic,a_muller,m_kecmanovic
Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,C Norrie,L Sonego,C Norrie,49,53,1119,1026,1.57,2.38,6-2 4-6 6-1,2025,14,L Sonego,c_norrie,l_sonego
Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Z Bergs,A Fils,A Fils,71,20,768,2355,2.75,1.44,6-7 4-6,2025,15,Z Bergs,a_fils,z_bergs
Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,K Nishikori,K Khachanov,K Nishikori,106,19,578,2410,2.2,1.67,4-6 6-3 7-5,2025,16,K Khachanov,k_nishikori,k_khachanov
Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,N Borges,J Munar,J Munar,36,62,1355,832,1.53,2.5,3-6 5-7,2025,17,N Borges,j_munar,n_borges
Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,L Musetti,G Diallo,L Musetti,17,87,2600,643,1.62,2.3,6-4 6-3,2025,18,G Diallo,l_musetti,g_diallo
Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,P Martinez,J Shang,J Shang,43,50,1205,1115,3.5,1.3,3-6 1-6,2025,19,P Martinez,j_shang,p_martinez
Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,F Marozsan,A Rublev,F Marozsan,58,8,935,3760,4.0,1.25,7-5 3-6 6-3,2025,20,A Rublev,f_marozsan,a_rublev
Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,A Fils,A Muller,A Muller,20,67,2355,778,1.25,4.0,6-3 3-6 1-6,2025,21,A Fils,a_muller,a_fils
Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,J Munar,L Musetti,J Munar,62,17,832,2600,3.5,1.3,2-6 7-6 7-5,2025,22,L Musetti,j_munar,l_musetti
Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,F Marozsan,J Shang,J Shang,58,50,935,1115,2.3,1.62,6-1 3-6 4-6,2025,23,F Marozsan,j_shang,f_marozsan
Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,K Nishikori,C Norrie,K Nishikori,106,49,578,1119,1.73,2.1,6-3 3-6 6-2,2025,24,C Norrie,k_nishikori,c_norrie
Hong Kong Tennis Open,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,J Munar,A Muller,A Muller,62,67,832,778,1.8,2.0,6-7 4-6,2025,25,J Munar,a_muller,j_munar
Hong Kong Tennis Open,2025-01-05,ATP250,Outdoor,Hard,The Final,3,A Muller,K Nishikori,A Muller,67,106,778,578,3.5,1.3,2-6 6-1 6-3,2025,26,K Nishikori,a_muller,k_nishikori
