tourney_name,tourney_date,Series,Court,surface,round,Best of,player1_name,player2_name,winner_name,player1_rank,player2_rank,Pts_1,Pts_2,Odd_1,Odd_2,score,tourney_id,match_num,loser_name,winner_id,loser_id
Brisbane International,20250101,ATP250,Outdoor,Hard,2nd Round,3,Yoshihito Nishioka,Jiri Lehecka,Jiri Lehecka,69,28,776,1660,3.2,1.36,2-6 7-6 4-6,2025,1,Yoshihito Nishioka,jiri_lehecka,yoshihito_nishioka
Brisbane International,20250101,ATP250,Outdoor,Hard,2nd Round,3,Nicolas Jarry,Benjamin Bonzi,Nicolas Jarry,35,75,1370,730,2.63,1.5,6-2 6-3,2025,2,Benjamin Bonzi,nicolas_jarry,benjamin_bonzi
Brisbane International,20250101,ATP250,Outdoor,Hard,2nd Round,3,Aleksandar Vukic,Grigor Dimitrov,Grigor Dimitrov,68,10,778,3350,4.5,1.2,2-6 6-7,2025,3,Aleksandar Vukic,grigor_dimitrov,aleksandar_vukic
Brisbane International,20250101,ATP250,Outdoor,Hard,2nd Round,3,Jordan Thompson,Alex Michelsen,Jordan Thompson,26,41,1745,1245,1.67,2.2,7-5 6-3,2025,4,Alex Michelsen,jordan_thompson,alex_michelsen
Brisbane International,20250102,ATP250,Outdoor,Hard,2nd Round,3,Dusan Lajovic,Jakub Mensik,Jakub Mensik,81,48,710,1136,4.0,1.25,3-6 2-6,2025,5,Dusan Lajovic,jakub_mensik,dusan_lajovic
Brisbane International,20250102,ATP250,Outdoor,Hard,2nd Round,3,Reilly Opelka,Matteo Arnaldi,Reilly Opelka,293,37,176,1345,2.5,1.53,7-6 7-6,2025,6,Matteo Arnaldi,reilly_opelka,matteo_arnaldi
Brisbane International,20250102,ATP250,Outdoor,Hard,2nd Round,3,Frances Tiafoe,G Mpetshi,G Mpetshi,18,31,2585,1561,1.8,2.0,4-6 6-7,2025,7,Frances Tiafoe,g_mpetshi,frances_tiafoe
Brisbane International,20250102,ATP250,Outdoor,Hard,2nd Round,3,Novak Djokovic,Gael Monfils,Novak Djokovic,7,55,3910,1005,1.06,10.0,6-3 6-3,2025,8,Gael Monfils,novak_djokovic,gael_monfils
Brisbane International,20250103,ATP250,Outdoor,Hard,Quarterfinals,3,Nicolas Jarry,Jiri Lehecka,Jiri Lehecka,35,28,1370,1660,3.2,1.36,4-6 4-6,2025,9,Nicolas Jarry,jiri_lehecka,nicolas_jarry
Brisbane International,20250103,ATP250,Outdoor,Hard,Quarterfinals,3,G Mpetshi,Jakub Mensik,G Mpetshi,31,48,1561,1136,1.73,2.1,7-5 7-6,2025,10,Jakub Mensik,g_mpetshi,jakub_mensik
